2025-08-12 13:12:34,031 - INFO - Loglar temizlendi
2025-08-12 13:12:41,919 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:12:41,920 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:12:41,920 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:12:41,920 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:12:51,919 - INFO - Sonraki zamanlama bulunamadı
2025-08-12 13:12:51,920 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:12:51,921 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:12:51,922 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:12:51,922 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:01,911 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:13:01,913 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:01,914 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:01,914 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:11,916 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:13:11,917 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:11,918 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:11,918 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:21,910 - INFO - Sonraki zamanlama bulunamadı
2025-08-12 13:13:21,910 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:13:21,911 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:21,912 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:21,912 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:31,915 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:13:31,916 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:31,916 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:31,916 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:41,916 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:13:41,917 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:41,917 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:41,917 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:51,912 - INFO - Sonraki zamanlama bulunamadı
2025-08-12 13:13:51,912 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:13:51,913 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:51,914 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:13:51,914 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:01,920 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:14:01,921 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:01,922 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:01,922 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:11,916 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:14:11,916 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:11,917 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:11,917 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:21,912 - INFO - Sonraki zamanlama bulunamadı
2025-08-12 13:14:21,913 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:14:21,913 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:21,914 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:21,914 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:31,911 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:14:31,913 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:31,915 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:31,915 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:41,915 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:14:41,918 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:41,919 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:41,919 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:51,913 - INFO - Sonraki zamanlama bulunamadı
2025-08-12 13:14:51,913 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:14:51,915 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:51,916 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:14:51,916 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:01,914 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:15:01,915 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:01,916 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:01,916 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:11,915 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:15:11,916 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:11,917 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:11,917 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:21,910 - INFO - Sonraki zamanlama bulunamadı
2025-08-12 13:15:21,910 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:15:21,911 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:21,912 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:21,912 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:31,920 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:15:31,921 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:31,922 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:31,922 - INFO - Gönderim istatistikleri yenilendi - Saatlik: 0, Günlük: 0
2025-08-12 13:15:41,921 - INFO - İstatistik güncellendi - Saatlik: 0/30, Günlük: 0/150
2025-08-12 13:15:41,922 - INFO - Gönderim istatistikleri kaydedildi - Saatlik: 0, Günlük: 0
